Food Name,Calories,Protein (g),Carbs (g),Fat (g),Rasa,Virya,Vipaka,Dosha Impact,Suitable For,Benefits,Dish Name,Main Ingredients,Ayurvedic Properties,Diabetes Management Benefits,Calories (per serving),Glycemic Index Estimate,Meal Timing Suggestion,Portion Size Recommendation,Notes,Calories_per_100g,Category
small plate of vegetable sald,120,2.7,21.54,2.35,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"Easy to digest, nourishes the body, and balances Vata",2 roti with bindi sabji,"Spices, Leafy Greens, Vegetables","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,123,36,Lunch,1 medium serving,Consume freshly prepared for best benefits,90.65,Snack
small plate of brown rice and sambar,91,2.31,15.88,0.53,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Whole Grains","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,251,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,91.3,Breakfast
2 idlis of brown rice and Vegetable Stew,51,0.15,15.62,0.1,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Fenugreek Leaves Curry ,"Legumes, Whole Grains, Low-fat Dairy","High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,231,44,Dinner,1 medium serving,Consume freshly prepared for best benefits,50.43,Dinner
2 idlis of 2 jowar roti with moong dal sabji and salad,104,2.8,14.75,0.89,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Cauliflower Rice Pulao,"Leafy Greens, Whole Grains, Vegetables","Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,116,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,103.09,Dinner
1 paratha of brown rice and sambar,111,2.94,23.31,0.48,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Whole Grains","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,230,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,107.27,Snack
2 bowls of Oats Upma,142,4.96,17.09,4.9,Madhura,Ushna,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Oats Kichadi,"Vegetables, Legumes, Low-fat Dairy","Rich in fiber and low GI, promotes stable blood sugar; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,239,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,167.37,Snack
½ bowl of 4 Khaman Dhokla,146,4.07,23.13,5.94,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with palak sabji ,"Spices, Vegetables, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,276,30,Dinner,1 medium serving,Consume freshly prepared for best benefits,122.44,Breakfast
2 bowls of 2 roti with soya bhurji,20,0.71,5.3,0.19,Kashaya,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Radish Paratha,"Spices, Legumes, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,120,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,22.32,Lunch
small plate of 3 rava idli with coconut chutney,32,1.24,9.93,0.21,Kashaya,Sheeta,Katu,Balances Pitta,Weight Loss,"Low in calories, good for hydration, and balances Pitta",2 Moong Dal Chilla,"Spices, Legumes, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,162,39,Breakfast,1 medium serving,Consume freshly prepared for best benefits,40.42,Dinner
Brahmi infused 2 idlis of rice with dal,60,1.47,7.79,1.48,Katu,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Brahmi enhances immunity & digestion",1 bowl of brown rice and veg sambar,"Whole Grains, Leafy Greens, Vegetables","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Supports Brahmi benefits",Helps regulate blood sugar and provides balanced nutrition,184,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,85.5,Snack
1 handful of 2 palak paratha with chutney,105,6.97,22.09,0.92,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Brown Rice Pulao,"Low-fat Dairy, Leafy Greens, Whole Grains","Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,246,47,Dinner,1 medium serving,Consume freshly prepared for best benefits,87.62,Snack
2 bowls of 2 chapati and Ridge Gourd Curry,30,1.25,8.33,0.22,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice Beetroot Poriyal,"Whole Grains, Legumes, Vegetables","Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,213,55,Dinner,1 medium serving,Consume freshly prepared for best benefits,25.96,Lunch
½ bowl of 2 Multigrain Roti with Mixed Vegetable Curry,48,2.05,12.97,0.25,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti and green leaf curry,"Spices, Low-fat Dairy, Legumes","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,120,55,Dinner,1 medium serving,Consume freshly prepared for best benefits,50.9,Breakfast
½ bowl of 4 Khaman Dhokla,131,4.08,19.92,3.73,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with palak sabji ,"Spices, Vegetables, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,270,30,Dinner,1 medium serving,Consume freshly prepared for best benefits,128.84,Dinner
Amla infused 1 paratha of rice and vegetable sambar,35,1.33,4.35,0.4,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Amla enhances immunity & digestion",1 bowl of rice and Broccoli Stir Fry ,"Spices, Whole Grains, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,122,30,Lunch,1 medium serving,Consume freshly prepared for best benefits,45.34,Snack
small plate of brown rice and Vegetable Stew,56,0.17,9.72,0.11,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Fenugreek Leaves Curry ,"Legumes, Whole Grains, Low-fat Dairy","High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,253,44,Dinner,1 medium serving,Consume freshly prepared for best benefits,54.05,Lunch
Neem infused ½ bowl of 2 roti with soya bhurji,22,0.93,4.26,0.23,Kashaya,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Neem enhances immunity & digestion",2 Radish Paratha,"Spices, Legumes, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Supports Neem benefits",Helps regulate blood sugar and provides balanced nutrition,107,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,20.81,Snack
1 handful of brown rice and sambar,95,1.41,17.35,2.27,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice and Lauki Chana Dal Curry,"Whole Grains, Spices, Leafy Greens","Provide sustained energy release and support Kapha balance; Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,312,37,Dinner,1 medium serving,Consume freshly prepared for best benefits,99.07,Beverage
Ashwagandha infused 2 bowls of brown rice with matki sambar,131,4.29,21.16,6.42,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Ashwagandha enhances immunity & digestion",2 chapati and Paneer Bhurji (Low-fat),"Whole Grains, Leafy Greens, Legumes","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption; Supports Ashwagandha benefits",Helps regulate blood sugar and provides balanced nutrition,279,37,Lunch,1 medium serving,Consume freshly prepared for best benefits,155.08,Snack
1 cup of 4 Low Fat Vegetable Dhokla,129,3.51,22.74,3.34,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Amaranth Leaves Sabzi ,"Vegetables, Leafy Greens, Low-fat Dairy","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,343,35,Dinner,1 medium serving,Consume freshly prepared for best benefits,117.7,Lunch
1 cup of 2 plain paratha with curd,87,2.31,22.83,0.1,Madhura,Sheeta,Madhura,Increases Kapha,Weight Loss (limited),"General health benefits, supports weight loss, and balances doshas",2 chapati with Cluster Beans Sabzi ,"Whole Grains, Legumes, Leafy Greens","Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,278,33,Lunch,1 medium serving,Consume freshly prepared for best benefits,96.12,Snack
small plate of 2 roti with masoor dal sabji,99,1.68,22.4,0.12,Madhura,Ushna,Madhura,Increases Kapha,Weight Loss (limited),"General health benefits, supports weight loss, and balances doshas",2 chapati and a bowl of Sprouted Moong Usal,"Leafy Greens, Whole Grains, Legumes","Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,265,37,Dinner,1 medium serving,Consume freshly prepared for best benefits,101.49,Breakfast
1 cup of 1 Ragi Mudde with sambar,104,1.77,22.96,0.82,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Cabbage Paratha,"Legumes, Low-fat Dairy, Vegetables","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,289,48,Lunch,1 medium serving,Consume freshly prepared for best benefits,98.21,Snack
1 handful of brown rice with matki sambar,108,2.65,30.11,3.63,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Low-fat Paneer Tikka,"Leafy Greens, Legumes, Spices","Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,401,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,159.94,Breakfast
1 paratha of 2 Besan Chilla,137,5.59,17.15,3.04,Katu,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Bitter Gourd Stir Fry ,"Spices, Low-fat Dairy, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,181,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,125.05,Snack
1 paratha of salad,20,0.75,4.49,0.21,Tikta,Ushna,Katu,Balances Kapha & Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl Vegetable Khichdi,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,306,55,Lunch,1 medium serving,Consume freshly prepared for best benefits,18.87,Breakfast
Ashwagandha infused 2 idlis of rice and Beetroot Curry,41,1.7,4.63,1.5,Katu,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Ashwagandha enhances immunity & digestion",2 chapati with matki sabji ,"Whole Grains, Low-fat Dairy, Legumes","Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health; High in protein and fiber, slows glucose absorption; Supports Ashwagandha benefits",Helps regulate blood sugar and provides balanced nutrition,311,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,46.42,Breakfast
2 idlis of 2 roti with  chana sabji,20,0.54,4.23,0.12,Amla,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with methi sabji,"Whole Grains, Low-fat Dairy, Leafy Greens","Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,219,47,Dinner,1 medium serving,Consume freshly prepared for best benefits,16.94,Snack
2 bowls of curd,114,3.89,26.67,0.87,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 jowar roti Baingan Bharta ,"Vegetables, Low-fat Dairy, Leafy Greens","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,174,45,Dinner,1 medium serving,Consume freshly prepared for best benefits,98.97,Breakfast
1 paratha of rice and sambar,20,0.85,3.47,0.16,Madhura,Sheeta,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Mixed Vegetable Curry,"Vegetables, Leafy Greens, Legumes","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,230,37,Lunch,1 medium serving,Consume freshly prepared for best benefits,22.39,Lunch
Giloy infused 1 handful of 2 roti with paneer burji,32,1.71,7.3,0.36,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Giloy enhances immunity & digestion",1 bowl of  rice Vegetable Sambar,"Low-fat Dairy, Vegetables, Legumes","Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar; High in protein and fiber, slows glucose absorption; Supports Giloy benefits",Helps regulate blood sugar and provides balanced nutrition,215,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,31.14,Lunch
small plate of brown rice and palak dal,20,0.39,2.21,0.44,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with bitter guard sabji,"Vegetables, Spices, Leafy Greens","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,214,35,Lunch,1 medium serving,Consume freshly prepared for best benefits,19.14,Lunch
2 idlis of 2 roti and bottle gaurd sabji,26,0.71,7.92,0.24,Amla,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 Stuffed Paratha (Methi),"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,188,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,37.42,Snack
small plate of 2 roti and mixed veg curry and Cucumber Salad,20,0.6,1.95,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 big bowl of Quinoa Vegetable Salad,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,373,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,12.63,Dinner
Amla infused 1 handful of rice and vegetable sambar,38,1.65,6.45,0.46,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Amla enhances immunity & digestion",1 bowl of rice and Broccoli Stir Fry ,"Spices, Whole Grains, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,123,30,Lunch,1 medium serving,Consume freshly prepared for best benefits,44.84,Dinner
Amla infused small plate of sabudana kichadi,88,5.57,16.23,0.32,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Amla enhances immunity & digestion",1 bowl of vegetable salad,"Spices, Legumes, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Supports Amla benefits",Helps regulate blood sugar and provides balanced nutrition,140,46,Breakfast,1 medium serving,Consume freshly prepared for best benefits,88.74,Lunch
1 handful of 2 roti with soya bhurji,24,0.83,3.6,0.19,Kashaya,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Radish Paratha,"Spices, Legumes, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,116,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,18.38,Snack
Tulsi infused ½ bowl of semiya upma,147,7.63,18.9,2.99,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Tulsi enhances immunity & digestion",1 bowl of Vegetable Poha,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,327,46,Breakfast,1 medium serving,Consume freshly prepared for best benefits,152.29,Snack
2 idlis of 1 Ragi Mudde with sambar,107,3.23,24.13,1.1,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Cabbage Paratha,"Legumes, Low-fat Dairy, Vegetables","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,264,48,Lunch,1 medium serving,Consume freshly prepared for best benefits,103.96,Lunch
Tulsi infused 1 handful of 2 roti and bottle gaurd sabji,30,0.84,5.17,0.25,Amla,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Tulsi enhances immunity & digestion",1 Stuffed Paratha (Methi),"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation; Supports Tulsi benefits",Helps regulate blood sugar and provides balanced nutrition,201,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,28.5,Breakfast
1 paratha of 2 roti with paneer burji,44,2.45,7.93,0.38,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of  rice Vegetable Sambar,"Low-fat Dairy, Vegetables, Legumes","Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,251,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,42.93,Snack
½ bowl of Vegetable Soup,31,1.33,6.88,0.36,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable pulav,"Vegetables, Leafy Greens, Low-fat Dairy","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,196,51,Lunch,1 medium serving,Consume freshly prepared for best benefits,32.69,Breakfast
2 bowls of rice and moong dal,23,0.7,3.0,0.13,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",3 Vegetable Stuffed Idli,"Legumes, Leafy Greens, Vegetables","High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,157,53,Dinner,1 medium serving,Consume freshly prepared for best benefits,22.29,Breakfast
1 cup of brown rice and sambar,97,1.78,24.53,0.41,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Whole Grains","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,247,47,Lunch,1 medium serving,Consume freshly prepared for best benefits,110.55,Dinner
2 bowls of 2 roti with soya bhurji,20,1.25,4.26,0.24,Kashaya,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Radish Paratha,"Spices, Legumes, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,130,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,19.95,Snack
2 idlis of Boiled Rajma Chaat with Tomatoes,20,0.78,2.26,0.4,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Vegetables","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,130,45,Dinner,1 medium serving,Consume freshly prepared for best benefits,17.45,Snack
2 idlis of 2 roti and bottle gaurd sabji,26,1.21,7.51,0.24,Amla,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 Stuffed Paratha (Methi),"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,185,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,28.43,Dinner
2 bowls of 2 roti and Chole sabji,70,2.39,3.15,2.47,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice and Tur Dal sambar,"Low-fat Dairy, Whole Grains, Vegetables","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,158,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,70.03,Breakfast
Methi Seeds infused 1 handful of 2 moong dal chilla,25,1.03,2.75,1.1,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Methi Seeds enhances immunity & digestion",2 poori with peas sabji,"Low-fat Dairy, Whole Grains, Legumes","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Supports Methi Seeds benefits",Helps regulate blood sugar and provides balanced nutrition,245,53,Breakfast,1 medium serving,Consume freshly prepared for best benefits,25.32,Breakfast
1 handful of 2 roti and mixed veg curry and Cucumber Salad,20,0.62,2.04,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 big bowl of Quinoa Vegetable Salad,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,284,42,Dinner,1 medium serving,Consume freshly prepared for best benefits,11.11,Dinner
1 handful of rice Green Gram Curry,103,5.4,13.92,0.5,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Pulao ,"Legumes, Low-fat Dairy, Leafy Greens","High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,358,46,Lunch,1 medium serving,Consume freshly prepared for best benefits,102.35,Dinner
2 idlis of Low-Fat Vegetable Pulao,143,4.29,30.7,2.47,Madhura,Ushna,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Pumpkin Paratha,"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation",Helps regulate blood sugar and provides balanced nutrition,140,40,Dinner,1 medium serving,Consume freshly prepared for best benefits,165.0,Lunch
Neem infused 1 cup of 2 roti and bottle gaurd sabji,28,0.89,7.35,0.26,Amla,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas; Neem enhances immunity & digestion",1 Stuffed Paratha (Methi),"Vegetables, Low-fat Dairy, Spices","Rich in fiber and low GI, promotes stable blood sugar; Provides protein without excess fat, supports metabolic health; Stimulates digestion and helps in blood sugar regulation; Supports Neem benefits",Helps regulate blood sugar and provides balanced nutrition,161,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,32.7,Dinner
2 idlis of 2 chapati with Paneer Bhurji (Low Fat),142,8.35,2.73,8.83,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice Spinach and Moong Dal Curry,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,168,53,Dinner,1 medium serving,Consume freshly prepared for best benefits,121.91,Lunch
